Game 10M_frames_Mean 10M_frame_StdDev 50M_frames_Mean 50M_frames_StdDev 100M_frames_Mean 100M_frames_StdDev 200M_frames_Mean 200M_frames_StdDev
Alien 600.5 23.6 1,426.6 81.6 1,952.6 216.0 2,742.0 357.5
Amidar 91.6 10.5 414.2 53.6 621.6 92.6 792.6 220.4
Assault 688.9 16.0 1,327.5 83.9 1,433.9 126.6 1,424.6 106.8
Asterix 1,732.6 314.6 3,122.6 96.4 3,423.4 213.6 2,866.8 1,354.6
Asteroids 301.4 14.3 458.1 28.5 458.0 18.9 528.5 37.0
Atlantis 6,639.4 208.4 51,324.4 8,681.7 291,134.7 31,575.2 232,442.9 128,678.4
BankHeist 32.3 6.5 448.2 104.8 740.7 130.6 760.0 82.3
BattleZone 2,428.3 200.4 10,838.4 1,807.6 15,048.5 2,372.0 20,547.5 1,843.0
BeamRider  693.9 111.0 4,551.5 849.1 4,977.2 292.2 5,700.5 362.5
Berzerk 434.5 51.2 457.5 9.4 470.0 24.5 487.2 29.9
Bowling 28.7 0.8 29.4 1.8 32.8 3.6 33.6 2.7
Boxing 18.6 3.8 71.7 2.7 77.9 0.5 72.7 4.9
Breakout 14.2 1.2 75.1 4.3 57.9 14.6 35.1 22.6
Carnival 588.5 47.0 2,131.6 534.3 4,621.9 191.0 4,803.8 189.0
Centipede 3,075.2 381.1 2,280.0 184.2 2,555.2 195.1 2,838.9 225.3
ChopperCommand 841.4 144.3 2,104.8 327.7 3,288.1 339.2 4,399.6 401.5
CrazyClimber 43,716.6 2,571.2 80,599.6 4,209.8 64,807.3 26,100.0 78,352.1 1,967.3
Defender 2,409.9 78.6 2,525.7 124.0 2,711.6 96.8 2,941.3 106.2
DemonAttack 154.8 11.5 3,744.6 688.9 4,556.5 947.2 5,182.0 778.0
DoubleDunk -20.9 0.3 -18.4 1.2 -15.6 1.6 -8.7 4.5
ElevatorAction 6.7 13.3 4.5 9.0 4.7 9.4 6.0 10.4
Enduro 473.2 22.3 578.0 79.6 597.4 153.1 688.2 32.4
FishingDerby -63.1 7.8 7.5 4.1 12.2 1.4 10.2 1.9
Freeway 13.8 8.1 31.7 0.7 32.4 0.3 33.0 0.3
Frostbite 241.8 30.8 292.5 28.8 274.3 8.8 279.6 13.9
Gopher 679.6 35.2 2,233.7 123.1 2,988.8 514.4 3,925.5 521.4
Gravitar 79.5 8.0 109.3 3.1 118.5 22.0 154.9 17.7
H.E.R.O. 1,667.9 1,107.8 11,564.0 3,722.4 14,684.7 1,840.6 18,843.3 2,234.9
IceHockey -15.1 0.3 -8.9 1.7 -4.4 2.0 -3.8 4.7
JamesBond 30.7 6.0 191.4 144.9 517.2 35.8 581.0 21.3
JourneyEscape -2,220.0 176.1 -2,409.7 341.2 -2,959.0 383.9 -3,503.0 488.5
Kangaroo 298.6 56.1 8,878.8 2,886.1 12,846.9 688.3 12,291.7 1,115.9
Krull 4,424.7 492.7 6,035.6 248.6 6,589.8 264.4 6,416.0 128.5
KungFuMaster 9,468.1 1,975.9 17,537.4 1,128.8 17,772.3 3,423.3 16,472.7 2,892.7
Montezuma’sRevenge 0.2 0.4 0.2 0.4 0.0 0.0 0.0 0.0
Ms.Pac-Man 1,675.5 41.9 2,626.1 139.8 2,964.9 100.8 3,116.2 141.2
NameThisGame 2,265.6 171.0 4,105.4 932.3 4,105.6 653.5 3,925.2 660.2
Phoenix 1,501.2 278.1 3,174.0 543.5 2,607.1 644.1 2,831.0 581.0
Pitfall! -24.9 14.8 -28.2 13.0 -23.3 9.6 -21.4 3.2
Pong -15.9 1.0 12.2 1.0 15.2 0.7 15.1 1.0
Pooyan 2,278.9 273.7 3,528.9 256.3 3,387.8 182.8 3,700.4 349.5
PrivateEye 81.6 15.6 60.4 92.4 1,447.4 2,567.9 3,967.5 5,540.6
Q*bert 674.7 53.6 3,142.1 1,238.7 7,585.4 2,787.4 9,875.5 1,385.3
RiverRaid 3,166.2 125.2 8,738.1 500.0 10,733.1 229.9 10,210.4 435.0
RoadRunner 14,742.2 1,553.4 37,271.7 1,234.5 41,918.4 1,762.5 42,028.3 1,492.0
Robotank 4.1 0.3 28.4 1.4 38.0 1.6 58.0 6.4
Seaquest 311.5 36.9 1,430.8 162.3 1,573.4 561.4 1,485.7 740.8
Skiing -20,837.5 1,550.2 -17,545.5 4,041.5 -13,365.1 800.7 -12,446.6 1,257.9
Solaris 1,030.2 40.3 977.7 112.5 783.4 55.3 1,210.0 148.3
SpaceInvaders  211.6 14.8 686.6 37.0 787.2 173.3 823.6 335.0
StarGunner 603.0 28.0 1,492.3 79.7 11,590.5 4,658.9 39,269.9 5,298.8
Tennis -23.8 0.1 -23.9 0.1 -23.9 0.0 -23.9 0.0
TimePilot 1,078.8 60.3 1,068.1 138.8 1,330.7 177.1 2,061.8 228.8
Tutankham 56.5 10.0 64.9 12.6 65.1 11.9 60.0 12.7
UpandDown 4,378.4 172.5 6,718.3 671.2 5,962.8 618.7 4,750.7 1,007.5
Venture 24.4 46.9 21.4 15.1 4.4 5.4 3.2 4.7
VideoPinball 4,009.3 271.9 7,817.0 1,884.4 16,626.2 3,740.6 15,398.5 2,126.1
WizardofWor 184.2 22.0 1,377.4 71.0 1,440.6 237.3 2,231.1 820.8
Yar’sRevenge 7,261.4 777.1 10,344.8 452.4 10,312.3 528.9 13,073.4 1,961.8
Zaxxon 53.5 51.0 672.3 748.5 1,638.2 784.0 3,852.1 1,120.7
