Game 10M_frames_Mean 10M_frame_StdDev 50M_frames_Mean 50M_frames_StdDev 100M_frames_Mean 100M_frames_StdDev 200M_frames_Mean 200M_frames_StdDev
Alien 1,910.2 557.4 3,255.3 562.8 3,753.5 712.0 4,272.7 773.2
Amidar 210.4 42.6 332.3 64.6 414.6 84.2 411.4 177.4
Assault 435.9 94.8 651.9 148.7 851.7 185.4 1,049.4 182.7
Asterix 2,146.8 364.8 3,417.8 445.3 3,767.8 354.9 4,358.0 431.6
Asteroids 1,350.1 259.5 1,378.1 233.0 1,443.4 218.1 1,524.1 191.2
Atlantis 39,731.2 8,187.9 41,833.5 23,356.0 36,289.2 8,868.5 38,057.5 8,455.2
BankHeist 256.2 66.6 357.6 72.1 394.8 64.8 419.7 60.5
BattleZone 11,009.2 4,417.2 19,178.3 3,293.4 22,419.2 4,204.4 25,089.6 4,845.9
BeamRider 1,200.2 242.9 1,859.2 391.9 2,126.1 523.7 2,234.0 471.5
Berzerk 473.5 82.1 542.5 84.4 572.1 70.2 622.3 70.1
Bowling 62.2 5.7 61.7 3.5 62.9 3.5 64.4 4.3
Boxing 34.8 13.4 70.1 15.2 79.1 9.7 78.1 16.5
Breakout 12.3 1.5 16.8 1.5 18.6 1.7 20.2 1.9
Carnival 2,206.2 855.7 4,207.5 857.7 4,959.7 935.9 3,489.8 2,621.5
Centipede 8,226.7 950.4 12,968.2 1,492.9 15,599.6 1,341.1 1,189.3 1,040.4
ChopperCommand 1,647.5 389.2 2,080.9 562.3 2,319.8 725.7 2,402.8 806.5
CrazyClimber 32,518.8 3,868.1 49,041.2 5,015.8 55,184.2 5,559.2 60,471.0 5,534.9
Defender 5,775.3 890.9 7,343.6 1,607.2 8,863.3 1,380.2 10,778.6 1,509.0
DemonAttack 385.4 144.8 628.9 96.9 921.5 91.5 1,272.2 253.6
DoubleDunk -10.6 1.4 -8.5 0.8 -7.6 0.6 -6.9 0.5
ElevatorAction 3,228.9 4,415.4 8,797.3 5,832.1 9,981.8 5,310.2 11,147.8 4,291.3
Enduro 120.3 49.8 241.3 28.6 275.1 13.0 294.0 8.0
FishingDerby -87.4 4.9 -76.5 6.3 -73.2 6.7 -69.2 8.9
Freeway 29.9 1.6 31.8 0.3 31.9 0.3 31.8 0.3
Frostbite 1,375.0 939.1 2,470.7 1,241.6 2,815.3 1,218.0 3,207.2 1,040.4
Gopher 2,961.1 495.3 4,631.9 454.0 5,259.9 535.2 5,555.4 594.1
Gravitar 629.8 201.5 863.5 255.6 979.5 340.1 1,150.0 397.5
H.E.R.O. 9,452.6 2,433.1 12,909.6 2,686.0 14,072.7 3,382.5 14,910.2 3,887.6
IceHockey -2.2 1.2 3.5 2.1 8.2 3.1 12.6 3.5
JamesBond 461.1 187.4 599.1 230.2 659.1 243.5 719.8 292.0
JourneyEscape -5,569.6 1,231.0 -5,115.5 5,821.8 -4,589.3 5,336.0 * *
Kangaroo 1,305.6 555.7 2,442.5 1,282.4 3,152.8 1,546.3 4,225.8 2,046.9
Krull 4,922.1 1,703.7 6,762.2 5,168.9 7,491.5 5,823.9 8,894.9 8,482.7
KungFuMaster 20,679.3 2,246.8 23,548.3 2,926.8 26,745.6 3,281.5 29,915.5 3,647.5
Montezuma’sRevenge 117.1 175.3 520.8 486.7 567.7 588.9 574.2 590.1
